ID,CGPA,Internships,Projects,Certifications,CommunicationSkill,Backlogs,Placed
1,8.31,0,2,1,6,2,Yes
2,7.36,0,2,2,8,1,No
3,6.47,1,4,0,7,0,Yes
4,9.71,1,1,0,8,2,No
5,7.86,3,2,2,8,2,No
6,8.6,0,2,1,8,0,Yes
7,8.3,1,2,1,6,1,No
8,6.25,2,1,1,9,1,No
9,9.21,2,2,0,6,0,No
10,9.36,1,3,1,8,0,Yes
11,7.97,1,3,3,6,3,No
12,5.9,0,1,2,7,0,No
13,9.88,1,5,3,9,1,Yes
14,6.67,2,1,1,3,2,No
15,7.7,0,5,3,6,1,Yes
16,8.86,1,4,2,8,0,No
17,9.37,2,2,0,9,0,Yes
18,5.8,2,4,0,5,0,No
19,7.36,0,3,2,7,3,No
20,7.43,1,1,1,5,0,Yes
21,5.81,2,2,4,7,0,No
22,6.44,0,5,2,4,2,Yes
23,5.93,1,2,2,6,3,No
24,7.27,1,4,1,7,0,Yes
25,6.6,3,2,3,6,3,No
26,9.76,3,4,1,5,0,Yes
27,7.17,3,2,3,5,3,No
28,7.95,2,1,1,9,0,No
29,5.75,1,3,3,9,0,Yes
30,8.12,2,2,0,7,1,No
31,7.34,1,3,4,7,0,Yes
32,8.46,1,2,3,8,3,No
33,5.82,0,2,4,9,0,Yes
34,9.17,2,3,4,6,2,Yes
35,8.42,3,1,0,8,0,Yes
36,8.66,0,3,1,3,2,Yes
37,7.36,1,0,3,6,1,No
38,7.38,0,1,3,8,2,No
39,6.15,0,2,3,7,2,No
40,6.6,0,4,3,5,0,No
41,9.3,3,4,3,9,0,Yes
42,9.03,3,4,1,7,2,No
43,6.48,2,3,1,7,0,Yes
44,6.94,3,5,1,5,3,No
45,9.63,0,5,1,8,0,Yes
46,8.71,1,3,2,5,0,Yes
47,5.51,3,3,2,6,0,Yes
48,8.42,1,2,3,6,0,Yes
49,7.27,1,1,1,9,2,No
50,6.82,1,0,1,5,1,No
51,7.45,0,3,4,7,0,Yes
52,8.28,1,4,3,6,0,Yes
53,6.58,1,4,0,5,0,No
54,7.68,0,3,0,7,0,No
55,6.27,3,3,0,7,0,No
56,8.44,3,3,4,8,1,Yes
57,9.15,1,4,2,5,0,Yes
58,8.87,1,3,1,8,0,Yes
59,7.88,0,2,2,6,0,No
60,7.33,0,2,4,4,2,No
61,7.17,0,2,3,9,0,No
62,7.9,2,2,1,6,0,No
63,7.28,0,3,0,6,0,No
64,5.62,2,1,2,8,0,Yes
65,8.85,1,4,3,6,0,Yes
66,9.9,1,3,3,5,3,Yes
67,5.59,0,1,2,5,1,No
68,6.24,2,4,0,8,0,Yes
69,6.87,2,5,1,6,1,No
70,5.95,2,4,2,10,1,Yes
71,7.38,1,3,1,8,0,No
72,8.3,2,4,1,6,0,No
73,7.87,1,2,2,6,2,Yes
74,9.38,0,3,2,6,2,Yes
75,6.43,2,2,3,6,0,No
76,5.88,2,3,3,6,0,No
77,5.91,0,3,1,5,0,No
78,8.78,1,4,1,6,0,Yes
79,7.86,2,1,1,4,3,No
80,6.75,0,1,1,7,0,Yes
81,9.79,1,3,0,8,2,No
82,7.57,1,1,0,8,2,No
83,5.83,2,1,0,5,3,No
84,8.86,2,4,1,5,0,No
85,9.86,1,3,2,6,0,Yes
86,8.41,0,1,0,8,1,Yes
87,6.52,2,4,2,5,1,No
88,8.41,3,2,2,4,2,Yes
89,6.23,1,4,2,6,1,No
90,9.65,1,3,0,8,0,Yes
91,5.9,3,4,2,10,1,Yes
92,5.68,2,3,2,7,1,No
93,7.66,0,2,1,5,0,No
94,6.77,3,4,2,5,0,No
95,7.28,1,5,2,5,0,Yes
96,8.83,2,4,1,3,0,No
97,6.03,3,3,1,8,1,Yes
98,9.87,3,3,0,7,1,Yes
99,6.7,2,5,1,5,3,No
100,9.37,3,2,3,3,0,Yes
101,6.74,1,3,4,6,0,Yes
102,7.93,1,3,1,7,1,Yes
103,8.91,0,4,2,7,1,No
104,9.82,1,0,2,4,2,No
105,7.81,1,4,1,6,0,No
106,6.99,2,3,3,8,0,Yes
107,8.66,2,4,0,9,3,No
108,8.79,1,1,2,8,1,No
109,5.7,2,2,1,8,1,No
110,6.25,0,4,2,7,0,Yes
111,6.62,1,0,3,8,0,Yes
112,7.02,1,3,1,6,0,Yes
113,7.63,0,3,2,8,3,No
114,6.71,1,3,2,9,0,No
115,6.76,2,3,1,5,1,No
116,8.4,2,3,4,6,0,Yes
117,8.72,0,2,2,7,0,No
118,7.84,3,4,1,7,2,No
119,6.99,0,5,0,10,1,No
120,9.76,2,2,3,8,0,Yes
121,8.46,1,4,4,7,0,No
122,7.97,3,2,0,8,0,Yes
123,6.12,3,2,2,9,0,Yes
124,8.45,2,5,1,6,0,Yes
125,7.65,1,5,0,5,3,No
126,5.94,2,3,4,5,0,Yes
127,9.23,1,3,2,6,1,Yes
128,6.05,1,1,3,7,2,No
129,6.15,3,0,3,7,0,Yes
130,8.41,0,0,3,7,0,Yes
131,8.76,1,4,2,7,0,Yes
132,9.66,0,4,3,5,3,Yes
133,7.61,1,3,2,7,0,Yes
134,5.79,1,3,2,4,0,Yes
135,8.16,0,4,3,5,1,Yes
136,7.49,0,2,2,6,0,No
137,7.15,0,5,0,7,0,No
138,9.07,1,3,2,6,0,Yes
139,8.8,3,4,4,5,1,Yes
140,8.39,0,1,3,5,1,No
141,9.22,3,4,2,6,3,No
142,6.68,0,4,1,6,2,No
143,7.26,0,3,0,6,0,Yes
144,7.13,2,4,2,7,0,Yes
145,8.47,1,3,2,5,1,Yes
146,7.39,1,3,2,6,0,No
147,5.53,1,2,0,6,0,No
148,6.27,1,4,2,8,0,No
149,5.69,0,5,3,5,1,No
150,6.01,0,2,3,4,2,No
151,9.22,0,3,2,5,0,Yes
152,6.24,1,1,2,8,1,No
153,9.09,0,1,1,4,1,Yes
154,8.9,1,4,3,3,1,No
155,8.25,3,3,1,8,0,Yes
156,5.75,1,2,2,9,0,No
157,9.26,2,3,2,4,2,Yes
158,9.06,2,2,2,7,0,No
159,7.01,2,3,1,7,0,Yes
160,6.2,1,2,1,5,1,No
161,5.79,0,3,1,6,2,No
162,6.97,1,1,1,9,0,No
163,9.63,1,2,3,7,2,No
164,8.52,1,3,1,6,0,Yes
165,9.67,1,2,0,9,0,Yes
166,9.17,3,0,1,7,0,Yes
167,9.16,2,4,1,5,1,Yes
168,7.45,1,4,1,5,2,No
169,9.17,1,5,4,5,0,Yes
170,9.75,2,4,0,6,2,Yes
171,5.95,2,4,1,7,2,Yes
172,7.42,3,2,2,6,0,Yes
173,6.54,3,2,0,9,1,No
174,6.11,1,4,2,8,0,Yes
175,5.85,1,4,2,6,0,Yes
176,6.83,0,2,3,6,2,No
177,5.57,1,2,0,5,0,No
178,8.42,0,5,0,5,3,No
179,7.22,1,3,4,6,1,Yes
180,8.72,2,4,2,6,0,Yes
181,6.27,2,3,2,5,0,No
182,7.51,1,0,1,10,0,No
183,7.89,1,4,1,5,2,Yes
184,6.05,1,4,2,8,3,No
185,7.69,3,3,3,6,1,No
186,7.9,1,1,2,6,0,No
187,7.05,0,4,1,8,3,No
188,5.83,2,2,3,5,0,No
189,8.94,0,1,3,5,1,No
190,8.49,3,2,3,5,0,Yes
191,6.6,0,4,2,5,0,Yes
192,7.46,3,2,4,6,2,Yes
193,9.45,1,1,2,7,0,Yes
194,7.89,3,4,2,9,1,Yes
195,6.03,0,1,3,9,0,No
196,7.93,2,1,1,9,0,No
197,9.12,0,5,2,4,0,No
198,8.93,2,1,4,3,0,Yes
199,6.17,0,2,2,4,2,No
200,6.6,2,3,0,6,0,Yes
